code,name,address,status
AKL,AKLAN,"GRD FLOOR DEL ROSARIO ( FORMER S&V BLDG)  ROXAS AVENUE EXT. KALIBO AKLAN",Active
ALM,ALAMINOS,"2ND FLOOR BHF BUILDING QUEZON AVENUE POBLACION ALAMINOS PANGASINAN",Active
ANQ,ANTIQUE,"BRGY 2. BANTAYAN ROAD, SAN JOSE DE BUENAVISTA, ANTIQUE",Active
APR,APARRI,"131 RIZAL ST CORNED DE RIVERA ST CENTRO 13 APARRI CAGAYAN",Active
AYT,ARAYAT,"OG ROAD SAN JOSE MESULO, ARAYAT, PAMPANGA",Active
ARY,ARINGAY,"MARC 11 BUILDING NATIONAL HIGHWAY POBLACION, ARINGAY, LA UNION",Active
BCD,BACOLOD,"DOOR 103 TIERRA BLDG 1, CORNER GALO ST, GATUSLAO ST, BRGY 11, BACOLOD CITY, NEGROS OCCIDENTAL",Active
BAG,BAGUIO,"#54 E-TAN BUILDING NAGUILLAN ROAD, CAMPO FILIPINO BAGUIO CITY",Active
BAI,BAIS,"DOOR 2, BATAMA ARCADA, BRGY. TALUNGON, BAIS CITY, NEGROS ORIENTAL",Active
BLY,BALAYAN,"322 FRATERNIDAD ST., BRGY. 12, BALAYAN BATANGAS",Active
BLR,BALER,"2B UY TOWN CENTER QUEZON HIGHWAY, SUCLAYIN BALER, AURORA",Active
BLG,BALIUAG,"PVR BUILDING STALL ANNEX 1H, BENIGNO S. AQUINO AVENUE, BAGONG NAYON, BALIUAG BULACAN",Active
BGR,BANGAR,"2ND FLOOR UNIT # 5 ARTURO C RAMIREZ BLDG. CENTRAL EAST 1 BANGAR, LA UNION",Active
ABR,BANGUED,"TAFT ST. ZONE 5 BANGUED, ABRA",Active
BSN,BANSALAN,"C.M RECTO STREET POBLACION DOS BANSALAN DAVAO DEL-SUR",Active
BTC,"BAROTAC NUEVO","BAYONETA BLDG. COR. MABINI-ZAMORA ST., BRGY. ILAUD POBLACION, BAROTAC NUEVO, ILOILO",Active
BAT,BATAAN,"UNIT 1 MPS COMMERCIAL BLDG. BRGY. DON MANUEL BANZON AVE.  BALANGA CITY, BATAAN",Active
BTS,BATANGAS,"UNIT 2 G/F MACALINTAL BLDG., C. TIRONA ST., BATANGAS CITY",Active
BYN,BAYAWAN,"ROXY BUILDING, MARCELLO H. DEL PILLAR, NATIONAL HGHWAY POBLACION, BAYAWAN CITY, NEGROS ORIENTAL, 6221",Active
BBY,BAYBAY,"A. BONIFACIO ST,.ZONE 12 BAYBAY CITY LEYTE",Active
BYG,BAYUGAN,"LIBRES STREET BRGY TAGLATAWAN BAYUGAN CITY AGUSAN DEL-SUR (8502)",Active
BSL,BISLIG,"DOOR 1 CASTELLO BLDG., ABARCA ST. MANGAGOY, BISLIG, SURIGAO DEL SUR",Active
BOC,BOCAUE,"UNIT 5 MARCIANA BLDG. 9002 J. FRANCISCO ST. LOLOMBAY BOCAUE BULACAN",Active
BGO,BOGO,"CENTRO, DELA VIÑA ST. BRGY. STO. ROSARIO, BOGO CITY, CEBU",Active
BUL,BULACAN,"91 HARCA BLDG. PASEO ST. MALOLOS, BULACAN",Active
BUS,BUSTOS,"PRINCIPIO BLDG. 2NDFLR BRGY POBLACION, BUSTOS BULACAN.",Active
BTN,BUTUAN,"DOOR 1, FE AMADA LDG.  VILLANUEVA EXTENSION,  TANDANG SORA, BUTUAN CITY",Active
CBN,CABANATUAN,"ORTIZ BLDG. BRGY. DICARMA CABANATUAN",Active
CDO,"CAGAYAN DE ORO","ARCH BISHOP HAYES ST. JUNKO BLDG. BRGY 2 DIVISORIA, INFRONT OF JUAN SIA ENTERPRICES",Active
