id,branchcode,clientcode,date,arnumber,amount,remarks,printedby,printeddatetime
131,IBA,S02042022-000679,2026-05-26,AR-2026-0122,941.94,"10122025_BRANCH CHECK FUNDING_UNDER CHECK#_FOR THE MONTH OF OCT2025_CHANGE_BDO",JSalvacion,"05/26/2026, 09:04 PM"
130,DAT,S02272024-001570,2026-05-26,AR-2026-0121,12401,"08122025_BRANCH CHECK FUNDING_UNDER CHECK#5082890703_FOR THE MONTH OF AUG2025_CHANGE_METROBANK",JSalvacion,"05/26/2026, 08:10 PM"
129,URT,S10192022-007190,2026-05-26,AR-2026-0120,18600,"08122025_BRANCH CHECK FUNDING_UNDER CHECK#2023067_FOR THE MONTH OF AUG2025_CHANGE_EASTWEST",JSalvacion,"05/26/2026, 07:53 PM"
128,BSL,S11212023-009654,2026-05-26,AR-2026-0119,2400,11252025_ECF_295817_JAN2025&OCT2025_BRANCHRELEASE,KLabad,"05/26/2026, 07:28 PM"
127,DVO,S02022024-000885,2026-05-26,AR-2026-0118,1000,"10222025_BR_ECF_DVO OCT2025 CAR#DVO-ECF-330066 *released 10/22/25 for the month of OCTOBER",KLabad,"05/26/2026, 07:17 PM"
126,DVO,S02022024-000885,2026-05-26,AR-2026-0117,300,"10222025_BR_RCF_DVO OCT2025 CAR#DVO-RCF- 340378 *released 10/22/25 for the month of OCTOBER",KLabad,"05/26/2026, 07:17 PM"
125,IBA,S02292024-001667,2026-05-25,AR-2026-0116,9400,"10212025_BRANCH CHECK FUNDING_UNDER CHECK#189683_FOR THE MONTH OF OCT2025_CHANGE_BDO",KLabad,"05/25/2026, 07:18 PM"
124,TLC,S11152022-007757,2026-05-25,AR-2026-0115,2300,"12292025_CHECK FUNDING_UNDER CHECK#1109534_FOR THE MONTH OF DECEMBER2025_CHANGE_EASTWEST",KLabad,"05/25/2026, 07:11 PM"
123,CEB,S09222023-007986,2026-05-25,AR-2026-0114,4792.25,"01062025_PALAWAN PADALA FOR THE MONTH OF OCTOBER2025 CHANGE CHARGED TO CLIENT APOPROVED BY MAM REA",KLabad,"05/25/2026, 06:54 PM"
122,CEB,S09222023-007986,2026-05-25,AR-2026-0113,3301,"01062026_PALAWAN PADALA FOR THE MONTH OF AUGUST2025  CHANGE CHARGED TO CLIENT APPROVED BY MAM REA",KLabad,"05/25/2026, 06:53 PM"
121,DPG,S09202023-007911,2026-05-25,AR-2026-0112,2515,"10282025_PALAWAN PADALA FOR THE MONTH OF DEC2024-OCT2025 CHANGE CHARGED TO CLIENT APPROVED BY MAM REA",KLabad,"05/25/2026, 06:42 PM"
